GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Examen1EvaluacionElliot,ies.puerto,Ejercicio5,135,28,33,4,55,12,25,3,1,3
Examen1EvaluacionElliot,ies.puerto,Ejercicio4,185,0,19,0,49,0,17,0,6,0
Examen1EvaluacionElliot,ies.puerto,Ejercicio3,81,0,8,0,13,0,7,0,3,0
Examen1EvaluacionElliot,ies.puerto,Ejercicio2,115,0,0,0,43,0,18,0,18,0
Examen1EvaluacionElliot,ies.puerto,Ejercicio1,29,0,6,0,9,0,6,0,3,0
